states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Texas,McKinney,"138,105",165.8,-,39.1,42,84.7,"2,017.3",356.3,"1,585.7",75.3
Texas,Mesquite,"144,811",305.2,1.4,9.7,126.4,167.8,"4,340.1","1,082.8","2,782.9",474.4
Florida,Miami Gardens,"111,177",837.4,22.5,14.4,331.9,468.6,"4,303","1,160.3","2,771.3",371.5
Texas,Midland,"115,637",344.2,3.5,18.2,45,277.6,"2,601.2",483.4,"2,000.2",117.6
Florida,Miramar,"125,998",426.2,1.6,24.6,129.4,270.6,"2,368.3",684.1,"1,508.8",175.4
California,Modesto,"204,631",777,9.8,28.8,219.9,518.5,"5,510.4","1,256.4","3,374.9",879.1
Alabama,Montgomery,"209,018",395.7,21.1,19.6,219.6,135.4,"5,768.9","1,631","3,611.2",526.7
California,Moreno Valley,"199,673",353.6,2.5,12.5,165.8,172.8,"3,190.7","1,010.7","1,730.8",449.2
Tennessee,Murfreesboro,"112,247",624.5,2.7,49,119.4,453.5,"3,568.9",822.3,"2,582.7",163.9
California,Murrieta,"106,839",65.5,0.9,7.5,19.7,37.4,"1,605.2",381.9,"1,101.7",121.7
Illinois,Naperville,"142,840",83.3,2.1,4.9,16.8,59.5,"1,431",178.5,"1,223.7",28.7
Connecticut,New Haven,"129,934","1,439.2",13.1,42.3,649.6,734.2,"5,014.9","1,116.7","3,348.6",549.5
Virginia,Newport News,"181,591",415.2,11,27.5,149.2,227.4,"3,151",566.7,"2,440.1",144.3
Virginia,Norfolk,"245,303",543,13.9,30.6,200.2,298.4,"4,643.6",921.7,"3,425.6",296.4
Oklahoma,Norman,"113,969",151.8,0.9,45.6,47.4,57.9,"2,676.2",551.9,"1,976",148.3
South Carolina,North Charleston,"100,675",732.1,12.9,60.6,210.6,448,"5,718.4",848.3,"4,333.7",536.4
Nevada,North Las Vegas,"221,884",763.9,6.3,32.9,175.3,549.4,"2,494.1",701.7,"1,362",430.4
California,Norwalk,"107,295",403.6,10.3,12.1,159.4,221.8,"2,431.6",502.4,"1,432.5",496.8
California,Oceanside,"171,141",425.4,4.7,28,102.3,290.4,"2,506.1",491.4,"1,754.7",260
Texas,Odessa,"103,635","1,064.3",4.8,41.5,136.1,881.9,"3,586.6",743,"2,475",368.6
Kansas,Olathe,"128,560",148.6,-,29.6,18.7,100.3,"1,929.1",245,"1,546.4",137.7
California,Ontario,"167,933",318,1.8,21.4,158.4,136.4,"3,010.7",630,"1,797.7",583
California,Orange,"139,692",96.6,2.9,5.7,38.7,49.4,"2,028",357.9,"1,463.2",206.9
Florida,Orlando,"246,513","1,017.4",9.7,41.8,244.6,721.3,"6,613.8","1,532.6","4,552.3",529
Kansas,Overland Park,"177,085",160.9,1.1,22.6,23.7,113.5,"2,303.4",292,"1,828.5",183
California,Oxnard,"201,797",298.8,4.5,4,150.6,139.7,"2,017.4",420.2,"1,326.6",270.6
Florida,Palm Bay,"104,635",528.5,2.9,18.2,74.5,432.9,"2,348.2",687.2,"1,530.1",130.9
California,Palmdale,"155,294",522.9,3.9,23.8,144.2,350.9,"2,184.9",666.5,"1,331.7",186.7
California,Pasadena,"139,382",310.7,3.6,15.1,123.4,168.6,"2,424.3",639.3,"1,605.7",179.4
Texas,Pasadena,"154,562",402.4,5.2,33.6,95.1,268.5,"3,629.6",646.3,"2,644.2",339
New Jersey,Paterson,"147,148","1,054.7",14.3,15,580.4,445.1,"3,153.3","1,100.3","1,436.6",616.4
Florida,Pembroke Pines,"159,744",149,1.3,8.8,52,87,"2,653",529.6,"1,987.6",135.8
Arizona,Peoria,"158,347",186.9,5.7,15.2,48.6,117.5,"2,951.1",586.7,"2,196.4",168
Illinois,Peoria,"115,288",797.1,8.7,21.7,281,485.7,"4,356","1,231.7","2,923.1",201.2
California,Pomona,"151,511",673.9,11.2,41.6,248.8,372.3,"3,336.4",594.7,"2,009.1",732.6
Florida,Pompano Beach,"103,003","1,029.1",4.9,35.9,406.8,581.5,"5,399.8","1,245.6","3,763",391.3
Florida,Port St. Lucie,"168,416",234.5,2.4,27.9,32.7,171.6,"1,799.7",484.5,"1,261.2",54
Rhode Island,Providence,"177,882",636.9,9.6,47.2,203.5,376.7,"4,484.4","1,084.4","2,745.6",654.4
Utah,Provo,"116,879",127.5,-,30.8,16.3,80.4,"2,109",257.5,"1,754.8",96.7
Colorado,Pueblo,"109,065",730.8,7.3,19.3,182.5,521.7,"6,445.7","1,737.5","4,256.2",452
California,Rancho Cucamonga,"169,276",189.6,2.4,9.5,66.2,111.7,"2,576.9",862.5,"1,433.8",280.6
Nevada,Reno,"230,486",517.2,3,14.3,141.9,357.9,"3,220.6",708.5,"2,129.8",382.2
California,Rialto,"101,595",501,3.9,16.7,197.8,282.5,"3,514.9",883.9,"1,769.8",861.3
Texas,Richardson,"103,266",165.6,1.9,26.1,77.5,60,"2,909",675.9,"2,106.2",126.9
California,Richmond,"106,357","1,092.5",16.9,33.8,367.6,674.1,"4,718.1","1,445.1","1,518.5","1,754.5"
Virginia,Richmond,"207,799",648.7,20.2,18.3,304.6,305.6,"4,380.7",976.9,"2,953.8",450
Minnesota,Rochester,"108,582",,1.8,,50.7,95.8,"2,505.9",455.9,"1,968.1",82
New York,Rochester,"211,993",976,17,52.8,385.4,520.8,"5,322.3","1,404.8","3,624.2",293.4
Illinois,Rockford,"152,293","1,367.8",5.9,81.4,327.7,952.8,"4,995.6","1,460.3","3,285.1",250.2
California,Roseville,"122,896",238.4,1.6,12.2,68.4,156.2,"2,675.4",422.3,"2,063.5",189.6
Texas,Round Rock,"106,232",132.7,-,30.1,42.4,60.2,"2,481.4",316.3,"2,091.6",73.4
Oregon,Salem,"157,353",358.4,4.4,25.4,87.7,240.9,"4,277.6",662.8,"3,150.9",463.9
California,Salinas,"154,413",665.1,13.6,26.6,316,308.9,"3,177.2",788.8,"1,687.7",700.7
Utah,Salt Lake City,"192,465",675.4,4.2,63.4,164.2,443.7,"7,459.5",947.7,"5,625.4",886.4
California,San Bernardino,"214,987",940.5,21.9,26,373.5,519.1,"4,888.7","1,306.6","2,321.5","1,260.5"
California,Santa Clara,"119,360",185.2,-,8.4,51.1,125.7,"2,769.8",489.3,"1,904.3",376.2
California,Santa Clarita,"179,248",190.8,0.6,16.7,53.6,119.9,"1,529.7",343.7,"1,016.5",169.6
California,Santa Maria,"101,207",681.8,-,20.7,143.3,517.8,"2,401",703.5,"1,302.3",395.2
California,Santa Rosa,"170,862",372.2,1.2,39.2,73.7,258.1,"2,234.6",424.3,"1,625.3",184.9
Georgia,Savannah-Chatham Metropolitan,"231,285",379.6,9.9,10.8,212.3,146.6,"3,599.5",900.6,"2,413.9",284.9
Arizona,Scottsdale,"223,432",147.2,1.3,18.8,51.5,75.6,"2,706.4",561.7,"2,036.9",107.9
Louisiana,Shreveport,"202,164",766.7,8.4,45.5,214.2,498.6,"4,878.2","1,199.5","3,449.2",229.5
California,Simi Valley,"126,686",111.3,2.4,5.5,28.4,75,"1,512.4",314.2,"1,100.4",97.9
South Dakota,Sioux Falls,"158,354",398.5,1.3,87.8,44.2,265.2,"3,183.4",567.7,"2,426.8",188.8
Indiana,South Bend,"101,398",613.4,17.8,54.2,311.6,229.8,"4,760.4","1,720","2,759.4",281.1
Washington,Spokane,"212,163",645.3,6.1,38.2,253.1,347.8,"8,730.1","1,803.8","5,938.8",987.4
Illinois,Springfield,"117,131",971.6,8.5,64.9,222,676.2,"5,929.3","1,425.8","4,296.9",206.6
Massachusetts,Springfield,"154,518","1,039.4",7.1,25.2,350.8,656.2,"4,545.7","1,499.5","2,554.4",491.9
Missouri,Springfield,"160,962",991.5,9.9,87.6,219.3,674.7,"9,010.8","1,376.1","6,981.8",652.9
Florida,St. Petersburg,"248,340",901.6,6,37.9,235.6,622.1,"5,013.7","1,181","3,479.9",352.7
Connecticut,Stamford,"124,201",282.6,4,20.1,116.7,141.7,"1,555.5",233.5,"1,185.2",136.9
Michigan,Sterling Heights,"129,974",178.5,3.1,12.3,23.1,140,"1,983.5",274.7,"1,584.2",124.6
California,Sunnyvale,"143,606",118.4,2.1,9.7,49.4,57.1,"1,779.2",364.9,"1,181",233.3
Arizona,Surprise,"120,793",134.1,2.5,6.6,51.3,73.7,"2,059.7",429.7,"1,532.4",97.7
New York,Syracuse,"145,934",940.2,9.6,51.4,311.1,568.1,"4,095","1,299.2","2,534",261.8
Washington,Tacoma,"202,646",797,5.9,45.9,239.8,505.3,"6,349","1,463.1","3,945.3",940.6
Florida,Tallahassee,"185,461",853,6.5,62,283.1,501.5,"4,646.3","1,418.1","2,945.6",282.5
California,Temecula,"103,414",93.8,-,9.7,51.3,32.9,"2,359.4",568.6,"1,585.9",205
Arizona,Tempe,"166,061",528.7,6.6,26.5,152.4,343.2,"4,711.5",752.7,"3,664.3",294.5
Colorado,Thornton,"123,115",269.7,0.8,47.1,33.3,188.4,"2,645.5",386.6,"1,974.6",284.3
California,Thousand Oaks,"129,171",121.5,-,17.8,35.6,68.1,"1,422.9",215.2,"1,138",69.7
Kansas,Topeka,"128,843",599.2,11.6,30.3,183.9,373.3,"5,309.6",991.1,"3,855.1",463.4
California,Torrance,"147,851",128.5,2.7,11.5,62.2,52.1,"1,819.4",357.8,"1,233",228.6
Texas,Tyler,"100,040",535.8,3,45,92,395.8,"4,504.2","1,024.6","3,348.7",130.9
California,Vallejo,"117,912",744.6,11.9,37.3,322.3,373.2,"4,956.2","2,279.7","1,425.6","1,250.9"
Washington,Vancouver,"166,375",355.8,3,43.3,103.4,206.2,"3,893.6",627.5,"2,610.4",655.7
California,Ventura,"108,511",285.7,0.9,22.1,129,133.6,"3,580.3",717,"2,603.4",259.9
California,Victorville,"118,687",569.6,5.1,33.7,187,343.8,"3,762","1,547.8","1,669.1",545.1
California,Visalia,"127,604",426.3,3.9,34.5,105,282.9,"4,334.5",961.6,"2,960.7",412.2
Texas,Waco,"128,595",493.8,4.7,49,141.5,298.6,"4,544.5","1,205.3","3,218.6",120.5
Michigan,Warren,"134,340",532.2,-,67.7,110.2,354.3,"2,819",743.6,"1,525.2",550.1
Connecticut,Waterbury,"110,486",296.9,4.5,6.3,167.4,118.6,"4,265.7",599.2,"3,202.2",464.3
California,West Covina,"107,861",260.5,1.9,10.2,100.1,148.3,"2,989",506.2,"1,979.4",503.4
Utah,West Jordan,"107,103",185.8,1.9,22.4,30.8,130.7,"2,769.3",442.6,"2,113.9",212.9
Florida,West Palm Beach,"102,422",801.6,16.6,30.3,326.1,428.6,"5,276.2","1,258.5","3,711.1",306.6
Utah,West Valley,"133,725",447.9,0.7,67.3,89.7,290.1,"4,164.5",702.9,"2,970.3",491.3
Colorado,Westminster,"109,461",259.5,1.8,26.5,46.6,184.5,"2,585.4",360.9,"1,960.5",264
Texas,Wichita Falls,"105,488",450.3,4.7,34.1,142.2,269.2,"4,759.8","1,193.5","3,348.2",218
North Carolina,Wilmington,"109,370",565.1,7.3,21,238.6,298.1,"5,403.7","1,548.9","3,513.8",341
North Carolina,Winston-Salem,"234,687",663,2.6,31.5,182.4,446.6,"5,838","1,929.8","3,617.6",290.6
New Jersey,Woodbridge Township,"100,612",121.3,-,3,54.7,63.6,"1,955",335.9,"1,504.8",114.3
Massachusetts,Worcester,"183,247",959.4,4.4,18,228.7,708.3,"3,510","1,113.3","2,143",253.8
New York,Yonkers,"198,464",570.9,2,14.1,212.6,342.1,"1,292.4",269.6,906.5,116.4
