states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Michigan,Shelby Township,"73,960",116.3,-,27.0,12.2,77.1,"1,417.0",220.4,"1,137.1",59.5
Iowa,Sioux City,"83,289",329.0,2.4,36.0,55.2,235.3,"4,166.2",745.6,"3,175.7",244.9
Illinois,Skokie,"65,096",205.8,-,26.1,56.8,122.9,"2,422.6",436.3,"1,892.6",93.7
Massachusetts,Somerville,"77,200",348.4,-,29.8,106.2,212.4,"2,233.2",450.8,"1,616.6",165.8
California,South Gate,"95,966",576.2,9.4,15.6,276.1,275.1,"2,652.0",427.2,"1,268.2",956.6
California,South San Francisco,"65,006",170.8,-,18.5,44.6,107.7,"2,032.1",540.0,"1,203.0",289.2
Michigan,Southfield,"72,253",487.2,2.8,47.1,188.2,249.1,"3,527.9",865.0,"2,117.6",545.3
Nevada,Sparks,"92,387",253.3,1.1,34.6,73.6,144.0,"2,769.9",659.2,"1,850.9",259.8
Washington,Spokane Valley,"91,164",215.0,1.1,34.0,73.5,106.4,"5,270.7",975.2,"3,821.7",473.9
Arkansas,Springdale,"71,668",463.2,1.4,79.5,41.9,340.5,"3,756.2",637.7,"2,914.8",203.7
Ohio,Springfield,"60,329",618.3,8.3,63.0,295.0,252.0,"7,188.9","2,353.8","4,551.7",283.4
Oregon,Springfield,"60,119",173.0,-,28.3,49.9,94.8,"5,076.6",687.0,"4,012.0",377.6
Missouri,St. Charles,"66,723",151.4,1.5,10.5,34.5,104.9,"2,921.0",332.7,"2,492.4",95.9
Utah,St. George,"75,780",204.5,-,35.6,30.4,138.6,"2,059.9",405.1,"1,540.0",114.8
Missouri,St. Joseph,"77,330",417.7,1.3,28.4,117.7,270.3,"6,088.2","1,284.1","4,324.3",479.8
Texas,Sugar Land,"82,924",131.4,-,4.8,44.6,82.0,"1,858.3",348.5,"1,467.6",42.2
Florida,Sunrise,"87,168",263.9,1.1,21.8,107.8,133.1,"3,704.3",916.6,"2,623.7",164.1
Florida,Tamarac,"62,382",306.2,8.0,20.8,118.6,158.7,"2,520.0",979.4,"1,383.4",157.1
Michigan,Taylor,"62,534",484.5,1.6,49.6,95.9,337.4,"3,834.7",900.3,"2,528.2",406.2
Texas,Temple,"68,194",296.2,1.5,32.3,108.5,154.0,#N/A,#N/A,"2,101.4",130.5
Indiana,Terre Haute,"61,152",312.3,6.5,47.4,139.0,119.4,"6,099.6","1,692.5","3,944.3",462.8
New Jersey,Toms River Township,"92,131",87.9,1.1,3.3,43.4,40.2,"3,140.1",694.7,"2,404.2",41.2
California,Tracy,"85,047",170.5,4.7,9.4,77.6,78.8,"2,537.4",333.9,"1,866.0",337.5
New Jersey,Trenton,"85,317","1,466.3",28.1,27.0,676.3,734.9,"3,218.6","1,513.2","1,155.7",549.7
Michigan,Troy,"81,567",73.6,2.5,11.0,15.9,44.1,"2,040.0",221.9,"1,687.0",131.2
California,Tulare,"60,848",617.9,9.9,16.4,116.7,475.0,"3,944.3","1,176.7","2,221.9",545.6
California,Turlock,"69,730",638.2,2.9,28.7,139.1,467.5,"3,565.2",894.9,"1,940.3",730.0
Alabama,Tuscaloosa,"91,973",519.7,4.3,40.2,184.8,290.3,"4,728.6","1,285.2","3,223.8",219.6
California,Tustin,"77,400",147.3,-,14.2,46.5,86.6,"2,135.7",310.1,"1,656.3",169.3
California,Union City,"71,089",330.6,-,12.7,144.9,173.0,"2,543.3",604.9,"1,506.6",431.9
New Jersey,Union City,"67,518",370.3,1.5,3.0,157.0,208.8,"1,873.6",356.9,"1,319.6",197.0
California,Upland,"75,531",195.9,-,10.6,88.7,96.6,"3,082.2",838.1,"1,759.5",484.6
Pennsylvania,Upper Darby Township,"82,978",623.1,3.6,19.3,325.4,274.8,"2,380.1",268.7,"1,975.2",136.2
New York,Utica,"62,445",658.2,1.6,36.8,201.8,418.0,"4,330.2",946.4,"3,225.2",158.5
California,Vacaville,"93,951",261.8,3.2,25.5,77.7,155.4,"2,161.8",339.5,"1,639.2",183.1
Texas,Victoria,"64,076",632.1,7.8,48.4,73.4,502.5,"4,032.7",927.0,"2,944.9",160.7
New Jersey,Vineland,"61,252",367.3,1.6,11.4,107.8,246.5,"4,148.4","1,133.0","2,945.2",70.2
California,Vista,"96,087",483.9,1.0,26.0,149.9,307.0,"1,961.8",455.8,"1,163.5",342.4
California,Walnut Creek,"65,816",127.6,-,4.6,28.9,94.2,"3,114.7",677.6,"2,222.9",214.2
Massachusetts,Waltham,"61,725",236.5,-,19.4,38.9,178.2,"1,375.5",309.4,988.3,77.8
Georgia,Warner Robins,"69,231",528.7,8.7,30.3,203.7,286.0,"5,747.4","1,128.1","4,405.5",213.8
Rhode Island,Warwick,"82,282",124.0,1.2,18.2,35.2,69.3,"2,572.9",405.9,"2,051.5",115.5
Michigan,Waterford Township,"72,224",195.2,-,26.3,44.3,124.6,"1,856.7",412.6,"1,312.6",131.5
Iowa,Waterloo,"68,919",682.0,5.8,92.9,100.1,483.2,"3,647.8","1,201.4","2,307.1",139.3
Illinois,Waukegan,"89,468",469.4,2.2,52.5,178.8,235.8,"3,004.4",698.6,"2,234.3",71.5
Wisconsin,Waukesha,"71,049",150.6,1.4,36.6,33.8,78.8,"1,835.4",327.9,"1,462.4",45.0
Wisconsin,West Allis,"60,870",313.8,-,18.1,159.4,136.4,"4,793.8",906.9,"3,670.1",216.9
Michigan,West Bloomfield Township,"65,157",55.3,3.1,3.1,13.8,35.3,"1,059.0",227.1,813.4,18.4
Connecticut,West Hartford,"63,487",72.5,-,3.2,55.1,14.2,"2,669.8",382.8,"2,123.3",163.8
Michigan,Westland,"83,299",405.8,1.2,73.2,96.0,235.3,"2,893.2",690.3,"1,806.7",396.2
California,Westminster,"91,908",309.0,2.2,9.8,95.7,201.3,"3,128.1",507.0,"2,269.7",351.4
Florida,Weston,"67,452",91.9,3.0,7.4,20.8,60.8,980.0,219.4,730.9,29.7
California,Whittier,"86,740",284.8,-,11.5,93.4,179.8,"2,884.5",517.6,"2,026.7",340.1
Delaware,Wilmington,"72,088","1,703.5",36.1,47.2,657.5,962.7,"5,304.6","1,681.3","3,117.0",506.3
Minnesota,Woodbury,"63,190",#N/A,-,#N/A,11.1,17.4,"2,291.5",305.4,"1,910.1",76.0
Washington,Yakima,"93,419",605.9,11.8,55.7,162.7,375.7,"6,180.8","1,683.8","3,324.8","1,172.1"
California,Yorba Linda,"65,820",80.5,-,4.6,16.7,59.3,"1,195.7",338.8,808.3,48.6
Pennsylvania,York Area Regional,"60,732",120.2,1.6,23.1,26.3,69.2,"1,052.2",260.2,759.1,32.9
Ohio,Youngstown,"66,567","1,027.5",33.0,58.6,366.5,569.4,"5,462.2","2,612.4","2,435.1",414.6
California,Yuba City,"65,653",376.2,6.1,33.5,65.5,271.1,"3,018.9",763.1,"1,975.5",280.3
Arizona,Yuma,"95,568",531.6,5.2,28.3,63.8,434.2,"3,508.5",999.3,"2,262.3",246.9
