states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Washington,Redmond,"55,770",64.6,0,14.3,19.7,30.5,2137.3,308.4,1741.1,87.9
Massachusetts,Revere,"52,926",508.3,1.9,22.7,136,347.7,2352.3,434.6,1594.7,323.1
Washington,Richland,"50,057",163.8,0,40,22,101.9,2537.1,373.6,2035.7,127.9
California,Rocklin,"58,865",83.2,0,8.5,27.2,47.6,1557.8,412.8,1039.7,105.3
North Carolina,Rocky Mount,"58,002",1291.3,13.8,22.4,220.7,1034.4,5832.6,1803.4,3779.2,250
Arkansas,Rogers,"57,757",349.7,0,74.4,19,256.2,3620.3,626.8,2900.1,93.5
California,Rohnert Park,"41,716",460.3,2.4,26.4,50.3,381.1,1845.8,268.5,1435.9,141.4
California,Rosemead,"54,656",261.6,0,7.3,98.8,155.5,1670.4,336.7,934.9,398.9
Michigan,Roseville,"47,400",478.9,0,67.5,124.5,286.9,4082.3,592.8,3061.2,428.3
New Mexico,Roswell,"48,623",629.3,16.5,57.6,86.4,468.9,5378.1,1135.3,4088.6,154.2
Texas,Rowlett,"58,324",121.7,0,29.1,15.4,77.2,1726.6,378.9,1272.2,75.4
Michigan,Royal Oak,"57,649",124.9,0,15.6,20.8,88.5,1748.5,310.5,1287.1,150.9
Michigan,Saginaw Township,"40,642",209.1,2.5,14.8,81.2,110.7,2017.6,292.8,1668.2,56.6
Michigan,Saginaw,"51,267",2362.1,52.7,126.8,325.7,1856.9,3442.8,2032.5,1205.5,204.8
Massachusetts,Salem,"42,025",378.3,0,16.7,40.5,321.2,2272.5,352.2,1794.2,126.1
Kansas,Salina,"48,155",334.3,2.1,39.5,47.8,245,4886.3,924.1,3740,222.2
Washington,Sammamish,"47,158",33.9,0,14.8,2.1,17,727.3,231.1,468.6,27.6
California,San Bruno,"42,002",202.4,0,26.2,69,107.1,2288,304.7,1642.8,340.5
California,San Gabriel,"40,376",218,0,7.4,84.2,126.3,1362.2,354.2,856.9,151.1
California,San Jacinto,"45,637",300.2,6.6,11,111.8,170.9,3240.8,922.5,1891,427.3
California,San Luis Obispo,"45,947",259,2.2,43.5,41.4,171.9,4289.7,901,3212.4,176.3
Texas,San Marcos,"47,384",346.1,2.1,57,59.1,227.9,3285.9,533.9,2526.2,225.8
California,San Rafael,"58,854",324.5,0,23.8,142.7,158,3032.9,611.7,1923.4,497.8
Florida,Sanford,"54,662",590.9,5.5,38.4,303.7,243.3,5422.4,1503.8,3633.2,285.4
California,Santee,"54,700",281.5,3.7,16.5,54.8,206.6,2027.4,334.6,1451.6,241.3
Florida,Sarasota,"53,055",801.1,7.5,47.1,256.3,490.1,5460.4,1328.8,3945,186.6
New Jersey,Sayreville,"43,151",88.1,2.3,2.3,27.8,55.6,1341.8,296.6,980.3,64.9
Wisconsin,Sheboygan,"49,261",345.1,8.1,38.6,42.6,255.8,3079.5,531.9,2460.4,87.3
Connecticut,Shelton,"40,062",54.9,0,17.5,30,7.5,1078.3,334.5,661.5,82.4
Washington,Shoreline,"54,574",181.4,5.5,42.1,75.1,58.6,3030.7,809.9,2021.1,199.7
Arizona,Sierra Vista,"46,612",278.9,0,51.5,60.1,167.3,3306,527.8,2610.9,167.3
Georgia,Smyrna,"52,537",306.5,5.7,22.8,129.4,148.5,2649.6,696.7,1709.3,243.6
Tennessee,Smyrna,"41,284",256.8,4.8,29.1,50.9,172,2390.8,327,1942.6,121.1
New Jersey,South Brunswick Township,"43,875",77.5,0,4.6,16,57,1180.6,246.2,847.9,86.6
Utah,South Jordan,"52,071",44.2,0,7.7,19.2,17.3,1976.1,332.2,1530.6,113.3
New York,Southampton Town,"50,256",127.3,0,6,29.8,91.5,1999.8,435.8,1440.6,123.4
Mississippi,Southaven,"49,938",292.4,0,48.1,44.1,200.2,2653.3,378.5,2158.7,116.1
Connecticut,Southington,"43,219",64.8,2.3,11.6,25.5,25.5,1737.7,300.8,1353.6,83.3
Michigan,St. Clair Shores,"59,841",252.3,0,33.4,21.7,197.2,1980.2,469.6,1361.9,148.7
Minnesota,St. Louis Park,"46,176",#N/A,0,#N/A,34.7,32.5,3226.8,534.9,2581.4,110.4
Missouri,St. Peters,"53,364",223,0,11.2,26.2,185.5,2602.9,213.6,2340.5,48.7
Pennsylvania,State College,"57,020",92.9,1.8,19.3,21,50.9,1380.2,201.7,1154,24.6
Oklahoma,Stillwater,"46,331",261.2,2.2,51.8,45.3,161.9,3175,561.2,2490.8,123
Connecticut,Stratford,"52,041",199.8,0,28.8,53.8,117.2,2715.2,470.8,2056.1,188.3
Illinois,Streamwood,"40,050",84.9,0,15,27.5,42.4,1755.3,307.1,1418.2,30
Ohio,Strongsville,"44,397",29.3,0,13.5,11.3,4.5,1792.9,186.9,1576.7,29.3
South Carolina,Summerville,"45,209",183.6,4.4,4.4,70.8,104,2917.6,424.7,2260.6,232.3
South Carolina,Sumter,"40,911",985.1,17.1,19.6,158.9,789.5,5248,1464.2,3444.1,339.8
Massachusetts,Taunton,"56,438",474.9,0,31.9,109.9,333.1,1507.8,673.3,774.3,60.2
New Jersey,Teaneck Township,"40,230",139.2,0,0,72.1,67.1,1456.6,298.3,1098.7,59.7
Texas,Texas City,"46,448",318.6,4.3,23.7,109.8,180.8,3660,764.3,2751.5,144.2
Oregon,Tigard,"49,359",135.7,2,18.2,72.9,42.5,3478.6,441.7,2933.6,103.3
Illinois,Tinley Park,"56,992",75.4,1.8,10.5,19.3,43.9,1472.1,189.5,1245.8,36.8
Florida,Titusville,"44,374",662.6,9,58.6,173.5,421.4,3977.6,1169.6,2255.8,552.1
New York,Tonawanda Town,"58,393",202.1,1.7,20.6,54.8,125,1834.1,339.1,1452.2,42.8
New York,Troy,"50,391",664.8,13.9,29.8,220.3,400.9,4707.2,1176.8,3328,202.4
Idaho,Twin Falls,"44,866",376.7,0,44.6,37.9,294.2,2817.3,461.4,2231.1,124.8
Ohio,"Union Township, Clermont County","46,833",76.9,2.1,19.2,36.3,19.2,3529.6,493.2,2961.6,74.7
New Jersey,Union Township,"57,234",138,0,8.7,76.9,52.4,1864.3,298.8,1341.9,223.6
Illinois,Urbana,"41,537",356.3,0,48.1,163.7,144.4,3474,1001.5,2344.9,127.6
Iowa,Urbandale,"40,467",140.9,0,7.4,4.9,128.5,1700.2,264.4,1354.2,81.5
Georgia,Valdosta,"56,617",438,5.3,67.1,155.4,210.2,4104.8,1156.9,2811.9,136
Connecticut,Wallingford,"45,183",33.2,0,4.4,22.1,6.6,2022.9,356.3,1611.2,55.3
Ohio,Warren,"41,355",674.6,9.7,38.7,246.6,379.6,4860.4,1963.5,2626,270.8
New Jersey,"Washington Township, Gloucester County","48,940",136.9,0,6.1,59.3,71.5,2327.3,363.7,1879.9,83.8
California,Watsonville,"52,064",484,3.8,28.8,167.1,284.3,3044.3,509,1966.8,568.5
Wisconsin,Wauwatosa,"46,748",166.9,2.1,0,119.8,44.9,4120,569,3471.8,79.1
New Jersey,Wayne Township,"55,071",72.6,0,0,23.6,49,2228,343.2,1803.1,81.7
New York,Webster Town and Village,"42,936",60.6,0,4.7,18.6,37.3,1080.7,202.6,836.1,41.9
Florida,Wellington,"57,943",248.5,0,17.3,48.3,182.9,2493.8,403.8,1905.3,184.7
Ohio,West Chester Township,"58,897",91.7,0,47.5,20.4,23.8,2234.4,365,1830.3,39.1
Iowa,West Des Moines,"58,134",163.4,0,27.5,13.8,122.1,3139.3,366.4,2686.9,86
Connecticut,West Haven,"55,626",573.5,1.8,1.8,104.3,465.6,2601.3,354.2,1934.3,312.8
New Jersey,West New York,"50,507",388.1,0,15.8,184.1,188.1,1451.3,386.1,964.2,101
New Jersey,West Orange,"46,505",146.2,4.3,0,66.7,75.3,1406.3,318.2,937.5,150.5
California,West Sacramento,"49,500",383.8,0,52.5,147.5,183.8,2945.5,765.7,1844.4,335.4
New York,West Seneca Town,"44,902",115.8,0,4.5,29,82.4,1875.2,331.8,1476.5,66.8
Massachusetts,Westfield,"41,485",183.2,0,19.3,33.7,130.2,1856.1,484.5,1328.2,43.4
Massachusetts,Weymouth,"54,597",344.3,0,16.5,76.9,250.9,1474.4,384.6,1009.2,80.6
Illinois,Wheaton,"53,263",22.5,1.9,1.9,5.6,13.1,1088.9,180.2,889.9,18.8
New York,White Plains,"57,567",159.8,1.7,5.2,53.9,99,2407.6,142.4,2221.8,43.4
Pennsylvania,Wilkes-Barre,"41,532",414.1,7.2,72.2,183,151.7,2992.9,652.5,2092.4,248
North Carolina,Wilson,"49,785",526.3,10,6,138.6,371.6,4662,1337.8,3099.3,225
California,Woodland,"56,323",314.3,0,17.8,83.4,213.1,3080.4,640.9,2080.9,358.6
Rhode Island,Woonsocket,"41,147",534.7,0,55.9,143.4,335.4,3059.8,840.9,2041.5,177.4
Texas,Wylie,"43,645",64.2,4.6,2.3,6.9,50.4,1404.5,229.1,1111.2,64.2
Pennsylvania,York,"43,955",1335.5,25,100.1,430,780.3,3599.1,985.1,2388.8,225.2
California,Yucaipa,"52,622",226.1,0,9.5,66.5,150.1,1793.9,515,1062.3,216.6
